data	chuva
2014-01-31	0.0
2014-01-30	15.4
2014-01-29	7.2
2014-01-28	9.3
2014-01-27	0.0
2014-01-26	2.2
2014-01-25	0.0
2014-01-24	5.9
2014-01-23	3.7
2014-01-22	0.0
2014-01-21	0.0
2014-01-20	0.0
2014-01-19	6.7
2014-01-18	0.0
2014-01-17	0.0
2014-01-16	2.3
2014-01-15	18.7
2014-01-14	3.3
2014-01-13	5.1
2014-01-12	0.0
2014-01-11	0.0
2014-01-10	0.0
2014-01-09	0.0
2014-01-08	0.0
2014-01-07	0.0
2014-01-06	0.0
2014-01-05	18.9
2014-01-04	0.0
2014-01-03	18.1
2014-01-02	1.7
2014-01-01	0.0
2013-12-31	0.0
2013-12-30	1.6
2013-12-29	0.0
2013-12-28	0.0
2013-12-27	1.1
2013-12-26	0.0
2013-12-25	0.0
2013-12-24	0.0
2013-12-23	0.0
2013-12-22	13.1
2013-12-21	0.0
2013-12-20	0.0
2013-12-19	5.4
2013-12-18	14.1
2013-12-17	1.2
2013-12-16	17.7
2013-12-15	0.0
2013-12-14	0.0
2013-12-13	0.0
2013-12-12	0.0
2013-12-11	12.1
2013-12-10	7.8
2013-12-09	2.5
2013-12-08	0.0
2013-12-07	0.0
2013-12-06	4.2
2013-12-05	0.0
2013-12-04	0.0
2013-12-03	0.0
2013-12-02	0.0
2013-12-01	0.0
2013-11-30	0.0
2013-11-29	0.0
2013-11-28	0.0
2013-11-27	0.0
2013-11-26	0.0
2013-11-25	5.0
2013-11-24	0.0
2013-11-23	0.0
2013-11-22	17.3
2013-11-21	0.0
2013-11-20	0.0
2013-11-19	0.0
2013-11-18	3.3
2013-11-17	0.0
2013-11-16	0.0
2013-11-15	0.0
2013-11-14	0.0
2013-11-13	1.7
2013-11-12	0.0
2013-11-11	0.0
2013-11-10	0.0
2013-11-09	0.0
2013-11-08	0.0
2013-11-07	0.0
2013-11-06	0.0
2013-11-05	0.0
2013-11-04	0.3
2013-11-03	0.0
2013-11-02	0.0
2013-11-01	0.0
