key,title,authors,journal,volume,issue,year,URL,doi
1,The river runoff forecast based on the modeling of time series,R. NigamS. NigamS. K. Mittal,Russian Meteorology and Hydrology,39,11,2014,http://link.springer.com/article/10.3103/S1068373914110053,10.3103/S1068373914110053
2,Evaluation of statistical models and modern hybrid artificial intelligence in the simulation of precipitation runoff process,Reza DehghaniHamidreza BabaaliNejat Zeydalinejad,Sustainable Water Resources Management,8,5,2022,http://link.springer.com/article/10.1007/s40899-022-00743-9,10.1007/s40899-022-00743-9
3,Enhancing monthly lake levels forecasting using heuristic regression techniques with periodicity data component: application of Lake Michigan,Vahdettin Demir,Theoretical and Applied Climatology,148,3 - 4,2022,http://link.springer.com/article/10.1007/s00704-022-03982-0,10.1007/s00704-022-03982-0
4,A comparative study between dynamic and soft computing models for sediment forecasting,Sarita Gajbhiye MeshramHamid Reza PourghasemiS. I. AbbaEhsan AlvandiChandrashekhar MeshramKhaled Mohamed Khedher,Soft Computing,25,16,2021,http://link.springer.com/article/10.1007/s00500-021-05834-x,10.1007/s00500-021-05834-x
5,Comparison of the monthly streamflow forecasting in Maroon dam using HEC-HMS and SARIMA models,Abbas AhmadpourSeyedHassan MirhashemiParviz Haghighat jouFarid frooghi,Sustainable Water Resources Management,8,5,2022,http://link.springer.com/article/10.1007/s40899-022-00686-1,10.1007/s40899-022-00686-1
6,"Comparison of Recurrent Neural Network, Adaptive Neuro-Fuzzy Inference System and Stochastic Models in Eğirdir Lake Level Forecasting",Veysel GüldalHakan Tongal,Water Resources Management,24,1,2010,http://link.springer.com/article/10.1007/s11269-009-9439-9,10.1007/s11269-009-9439-9
7,"High effectiveness of GRACE data in daily-scale flood modeling: case study in the Xijiang River Basin, China",Jinghua XiongZhaoli WangShenglian GuoXushu WuJiabo YinJun WangChengguang LaiQiangjun Gong,Natural Hazards,113,1,2022,http://link.springer.com/article/10.1007/s11069-022-05312-z,10.1007/s11069-022-05312-z
8,Rainfall–Runoff Modeling Using Support Vector Machine in Snow-Affected Watershed,Fatemeh SedighiMehdi VafakhahMohamad Reza Javadi,Arabian Journal for Science and Engineering,41,10,2016,http://link.springer.com/article/10.1007/s13369-016-2095-5,10.1007/s13369-016-2095-5
9,"Evaluation of WRF and artificial intelligence models in short-term rainfall, temperature and flood forecast (case study)",Emadeddin ShiraliAlireza Nikbakht ShahbaziHossein FathianNarges ZohrabiElham Mobarak Hassan,Journal of Earth System Science,129,1,2020,http://link.springer.com/article/10.1007/s12040-020-01450-9,10.1007/s12040-020-01450-9
10,Stochastic Forecasting Models of the Monthly Streamflow for the Blue Nile at Eldiem Station,Mohamed A. ElganainyAlaa E. Eldwer,Water Resources,45,3,2018,http://link.springer.com/article/10.1134/S0097807818030041,10.1134/S0097807818030041
11,Data-driven approaches for runoff prediction using distributed data,Heechan HanRyan R. Morrison,Stochastic Environmental Research and Risk Assessment,36,8,2022,http://link.springer.com/article/10.1007/s00477-021-01993-3,10.1007/s00477-021-01993-3
12,Deep learning approaches and interventions for futuristic engineering in agriculture,Subir Kumar ChakrabortyNarendra Singh ChandelDilip JatMukesh Kumar TiwariYogesh A. RajwadeA. Subeesh,Neural Computing and Applications,34,23,2022,http://link.springer.com/article/10.1007/s00521-022-07744-x,10.1007/s00521-022-07744-x
13,"Application of Artificial Neural Networks, Support Vector Machine and Multiple Model-ANN to Sediment Yield Prediction",Sarita Gajbhiye MeshramVijay P. SinghOzgur KisiVahid KarimiChandrashekhar Meshram,Water Resources Management,34,15,2020,http://link.springer.com/article/10.1007/s11269-020-02672-8,10.1007/s11269-020-02672-8
14,Two-Stage Pumping Control Model for Flood Mitigation in Inundated Urban Drainage Basins,Chih-Chiang WeiNien-Sheng HsuChien-Lin Huang,Water Resources Management,28,2,2014,http://link.springer.com/article/10.1007/s11269-013-0491-0,10.1007/s11269-013-0491-0
15,"Comparative study on flash flood hazard assessment for Nam Ou River Basin, Lao PDR",Jun DuZhong-jie FanJian Pu,Natural Hazards,102,3,2020,http://link.springer.com/article/10.1007/s11069-020-03972-3,10.1007/s11069-020-03972-3
16,Comparative study of monthly inflow prediction methods for the Three Gorges Reservoir,Yun WangShenglian GuoHua ChenYanlai Zhou,Stochastic Environmental Research and Risk Assessment,28,3,2014,http://link.springer.com/article/10.1007/s00477-013-0772-4,10.1007/s00477-013-0772-4
17,Green Roof Hydrological Modelling With GRU and LSTM Networks,Haowen XieMark RandallKwok-wing Chau,Water Resources Management,36,3,2022,http://link.springer.com/article/10.1007/s11269-022-03076-6,10.1007/s11269-022-03076-6
18,Error Correction Modelling of Wind Speed Through Hydro-Meteorological Parameters and Mesoscale Model: A Hybrid Approach,Asnor Muizan IshakRenji RemesanPrashant K. SrivastavaTanvir IslamDawei Han,Water Resources Management,27,1,2013,http://link.springer.com/article/10.1007/s11269-012-0130-1,10.1007/s11269-012-0130-1
19,A comparison of Artificial Neural Networks (ANN) and Local Linear Regression (LLR) techniques for predicting monthly reservoir levels,Muhammad Ali ShamimMuhammad HassanSameel AhmadMuhammad Zeeshan,KSCE Journal of Civil Engineering,20,2,2016,http://link.springer.com/article/10.1007/s12205-015-0298-z,10.1007/s12205-015-0298-z
20,The utilisation of conceptual and data-driven models for hydrological modelling in semi-arid and humid areas of the Antalya basin in Turkey,Cenk SezenTurgay Partal,Acta Geophysica,70,2,2022,http://link.springer.com/article/10.1007/s11600-022-00746-2,10.1007/s11600-022-00746-2
21,Inter-basin water transfer-supply model and risk analysis with consideration of rainfall forecast information,ShuFeng XiBenDe WangGuoHua LiangXueSen LiLiLi Lou,Science China Technological Sciences,53,12,2010,http://link.springer.com/article/10.1007/s11431-010-4170-6,10.1007/s11431-010-4170-6
22,RETRACTED ARTICLE: The characteristics of rainfall in coastal areas and the intelligent library book push system oriented to the Internet of Things,Hailing Chi,Arabian Journal of Geosciences,14,12,2021,http://link.springer.com/article/10.1007/s12517-021-07408-5,10.1007/s12517-021-07408-5
23,"Natural Hazards Monitoring:Forest Fires, Droughts And Floods - The Example Of European Pilot Projects",J. San Miguel-AyanzJ. VogtA. De RooG. Schmuck,Surveys in Geophysics,21,2 - 3,2000,http://link.springer.com/article/10.1023/A%3A1006750412500,10.1023/A:1006750412500
24,Shifting from homogeneous to heterogeneous surfaces in estimating terrestrial evapotranspiration: Review and perspectives,Yuanbo LiuGuoyu QiuHongsheng ZhangYonghui YangYinsheng ZhangQuan WangWenzhi ZhaoLi JiaXibin JiYujiu XiongChunhua YanNing MaShumin HanYifan Cui,Science China Earth Sciences,65,2,2022,http://link.springer.com/article/10.1007/s11430-020-9834-y,10.1007/s11430-020-9834-y
25,"Increasing probability of concurrent drought between the water intake and receiving regions of the Hanjiang to Weihe River Water Diversion Project, China",Xiaohong WangXianfeng LiuGaopeng Sun,Journal of Geographical Sciences,32,10,2022,http://link.springer.com/article/10.1007/s11442-022-2033-2,10.1007/s11442-022-2033-2
