Ano;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
1990;6.871;1.979;3.181;42.901;41.06;96.431;1048.577;119.08;17.316;16.254;5.43;4.792
1991;4.206;4.792;47.718;67.674;171.12;38.389;49.731;41.06;10.705;9.912;5.43;2.954
1992;16.254;24.558;86.166;156.538;12.401;67.674;83.359;12.401;38.389;6.871;2.738;2.338
1993;2.338;2.153;31.785;5.43;10.304;22.605;16.254;18.419;1.246;0.317;0.491;0.08
1994;0.562;6.122;29.499;14.736;65.249;219.637;182.016;73.972;12.401;4.206;2.533;2.533
1995;1.659;5.769;148.553;36.668;25.915;83.359;110.662;64.056;2.533;2.338;1.659;1.375
1996;4.792;11.963;44.791;193.319;58.289;83.359;42.901;34.994;35.825;3.181;13.306;4.206
1997;9.912;34.994;25.915;182.016;173.267;137.042;58.289;10.705;4.792;3.67;0.908;1.979
1998;0.908;0.562;1.814;1.659;13.306;2.533;12.849;29.499;0.491;0.317;1.659;2.738
1999;0.638;0.024;1.659;0.908;23.245;3.419;14.25;0.317;1.013;0.269;0.562;0.061
2000;11.115;0.061;4.792;32.57;21.975;269.931;137.042;237.445;214.702;8.435;2.738;9.912
2001;2.338;1.659;3.181;7.679;11.963;34.994;52.845;26.609;33.366;2.954;0.721;1.659
2002;16.254;1.979;75.272;3.67;53.908;101.045;104.192;7.267;3.181;1.979;2.338;1.126
2003;0.721;2.338;32.57;10.304;66.455;164.775;19.563;6.49;12.401;0.908;1.126;0.317
2004;27.315;311.035;30.25;53.908;44.791;217.161;186.488;12.401;11.535;3.67;1.126;1.375
2005;3.181;7.267;7.679;6.122;32.57;352.374;90.48;76.585;31.012;2.338;1.659;5.104
2006;1.814;1.979;9.912;31.785;16.254;81.977;18.419;12.401;6.122;1.375;5.43;8.435
2007;3.67;5.769;6.49;54.984;10.705;51.794;33.366;21.975;27.315;1.375;1.512;2.954
2008;19.563;2.153;56.072;17.316;110.662;32.57;110.662;0.0;7.679;1.659;0.0;1.013
2009;1.375;86.166;28.032;68.907;71.412;64.056;37.522;61.71;6.122;1.814;1.512;1.659
2010;6.49;2.338;5.769;23.245;11.535;400.397;193.319;12.401;4.492;3.181;1.814;14.25
2011;6.49;12.401;10.705;67.674;703.205;80.608;311.035;65.249;11.115;6.122;6.871;5.769
2012;14.25;2.338;6.49;2.533;12.401;75.272;127.872;2.338;13.773;4.206;1.659;1.814
2013;8.435;5.769;3.931;18.419;41.975;113.985;91.947;51.794;18.419;2.738;7.679;13.306
2014;5.104;7.679;19.563;5.43;65.249;58.289;9.912;6.871;77.913;6.871;0.491;0.189
2015;5.502;5.775;26.261;6.056;10.057;144.654;304.949;12.08;2.13;2.13;2.37;7.58
2016;4.249;15.282;20.15;262.957;66.455;10.84;1.562;3.38;2.13;1.375;2.625;2.989
2017;4.366;2.539;19.273;29.499;62.876;40.158;129.676;9.307;2.209;2.804;1.042;0.0
2018;5.712;3.046;14.49;71.39;15.907;0.01;0.0;0.0;0.0;0.0;0.0;0.002
2019;1.026;2.28;2.743;1.675;12.563;163.206;137.191;111.737;0.009;0.0;0.0;0.009
2020;0.0;1.411;0.499;23.965;4.667;15.907;3.904;0.0;0.0;0.0;0.0;0.2
